x_x,x_y,x_z,v_x,v_y,v_z,q0,q1,q2,q3,w_x,w_y,w_z,W1,W2,W3,W4,B_x,B_y,B_z,S_x,S_y,S_z,P,I
5.596289575940575451e+06,-3.860131837696113624e+06,4.718512978179621859e+04,2.669841682655914610e+03,3.941723478403162972e+03,5.993796689131337189e+03,9.159428674530079029e-01,2.711412516915686077e-01,1.951202353805032153e-01,2.223941971773278903e-01,1.125810289781533219e-01,5.636597634702432413e-02,8.097152251334914508e-02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-1.060039032789203108e-05,1.583353876276836889e-05,1.596572561046727401e-05,-6.354395314565114417e-01,6.123233215226075998e-01,-4.704006290194038264e-01,0.000000000000000000e+00,0.000000000000000000e+00
5.597623607943022624e+06,-3.858160363019074779e+06,5.018202044855901477e+04,2.666286186077078128e+03,3.944175020893712372e+03,5.993765659711897570e+03,9.004592379887006448e-01,2.978056379233540163e-01,2.084576226586768166e-01,2.388103479696084275e-01,1.145235584421044756e-01,5.371126126152082902e-02,7.960993556244892744e-02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-1.037253813971745953e-05,1.714232683735751484e-05,1.471932917391600228e-05,-5.972531023885518930e-01,6.088859067670800984e-01,-5.220600389109292250e-01,0.000000000000000000e+00,0.000000000000000000e+00
5.598955861985689029e+06,-3.856187662884145044e+06,5.317889512330114667e+04,2.662729843718441316e+03,3.946625309836344059e+03,5.993732721050717373e+03,8.837981679089282894e-01,3.245664394019024956e-01,2.211324620498139881e-01,2.542790967472171593e-01,1.163963759194813485e-01,5.111466634198067599e-02,7.813470314182757726e-02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-1.005136069126602832e-05,1.837266725593371977e-05,1.340363044963144157e-05,-5.590591497476146143e-01,6.000928097188860111e-01,-5.721376467312454528e-01,0.000000000000000000e+00,0.000000000000000000e+00
5.600286337645967491e+06,-3.854213737918293104e+06,5.617575285140485357e+04,2.659172656712496973e+03,3.949074344452627429e+03,5.993697873160281233e+03,8.659972957042859631e-01,3.513599517257090521e-01,2.331739975436028511e-01,2.687466372360908795e-01,1.181987480032244270e-01,4.858297064426687212e-02,7.655101085039600628e-02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-9.645087056592679798e-06,1.951397462113732607e-05,1.202306923262856823e-05,-5.212458398035154650e-01,5.859987571221740854e-01,-6.204097284366155707e-01,0.000000000000000000e+00,0.000000000000000000e+00
5.601615034501818009e+06,-3.852238588748876471e+06,5.917259267825876304e+04,2.655614626192067135e+03,3.951522123964648472e+03,5.993661116053845035e+03,8.470956973881664798e-01,3.781209933563615677e-01,2.446141484473660366e-01,2.821653987097361704e-01,1.199303285792688023e-01,4.612265086263442337e-02,7.486420026382133164e-02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-9.162574185845892850e-06,2.055651526767523522e-05,1.058251406768148057e-05,-4.841749001833082766e-01,5.667033251931635762e-01,-6.666498385565656770e-01,0.000000000000000000e+00,0.000000000000000000e+00
5.602941952131764032e+06,-3.850262216003641952e+06,6.216941364925837115e+04,2.652055753290298071e+03,3.953968647595004313e+03,5.993622449745425911e+03,8.271336274318032977e-01,4.047832202122735312e-01,2.554871247133473910e-01,2.944942038679122520e-01,1.215911285061025554e-01,4.373985969725691786e-02,7.307972176493592043e-02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-8.613151119532152895e-06,2.149148331056161736e-05,9.087276485665557352e-06,-4.481774630753699862e-01,5.423486114787600121e-01,-7.106299636367624517e-01,0.000000000000000000e+00,0.000000000000000000e+00
5.604267090114901774e+06,-3.848284620310724713e+06,6.516621480980632623e+04,2.648496039140656194e+03,3.956413914566792755e+03,5.993581874249785869e+03,8.061522680155732701e-01,4.312794335990163264e-01,2.658290343653502141e-01,3.056983732639813600e-01,1.231814824479474241e-01,4.144040931536761146e-02,7.120308968064741062e-02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-8.006460799597807176e-06,2.231106099644438324e-05,7.543118734067911948e-06,-4.135505462843618862e-01,5.131165207037848841e-01,-7.521219195374831967e-01,0.000000000000000000e+00,0.000000000000000000e+00
5.605590448030886240e+06,-3.846305802298647352e+06,6.816299520531285089e+04,2.644935484876920782e+03,3.958857924103605455e+03,5.993539389582417243e+03,7.841934895169396791e-01,4.575418792080220842e-01,2.756774872100594687e-01,3.157497788052822663e-01,1.247020135002401969e-01,3.922975972569024694e-02,6.923984031259480809e-02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-7.352302366321476326e-06,2.300846372773198919e-05,5.956254351532928721e-06,-3.805542093433401662e-01,4.792257449176505202e-01,-7.908989689961596348e-01,0.000000000000000000e+00,0.000000000000000000e+00
5.606912025459947065e+06,-3.844325762596322689e+06,7.115975388119615673e+04,2.641374091633175340e+03,3.961300675429510193e+03,5.993494995759530866e+03,7.612996247455185994e-01,4.835025353475818632e-01,2.850711987291167371e-01,3.246268493669884347e-01,1.261535962313162507e-01,3.711301179333693218e-02,6.719549334484825609e-02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-6.660476669655423059e-06,2.357797045212985798e-05,4.333341131413882212e-06,-3.494094070291096643e-01,4.409285167940833472e-01,-8.267376303019814410e-01,0.000000000000000000e+00,0.000000000000000000e+00
5.608231821982877329e+06,-3.842344501833049115e+06,7.415648988288259716e+04,2.637811860543802140e+03,3.963742167769044954e+03,5.993448692798034244e+03,7.375132590115086595e-01,5.090933889985495009e-01,2.940495977098319669e-01,3.323145319526080721e-01,1.275373187357271287e-01,3.509490454522678354e-02,6.507551700658165128e-02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-5.940637514537150871e-06,2.401494037803987320e-05,2.681466216937595937e-06,-3.202965479136885563e-01,3.985072117204769837e-01,-8.594196434811953722e-01,0.000000000000000000e+00,0.000000000000000000e+00
