x_x,x_y,x_z,v_x,v_y,v_z,q0,q1,q2,q3,w_x,w_y,w_z,W1,W2,W3,W4,B_x,B_y,B_z,q_e_norm
5.596240101609459147e+06,-3.860140405732255895e+06,4.719221363357688097e+04,2.669167778722429830e+03,3.941410612973237676e+03,5.994355806800954269e+03,9.159626504646795064e-01,2.663599032424736057e-01,2.004041291738854202e-01,2.235814454457697720e-01,1.112628009710203147e-01,5.836983597527494599e-02,8.325473378321611440e-02,6.977097835146598066e-05,-1.553234907091783322e-04,-4.176184285395469594e-05,-7.595160529756350113e-05,-1.069477305738702509e-05,1.443458224730217172e-05,1.713811952437480061e-05,-1.673103137700415743e-05
5.597573790029194206e+06,-3.858169082908503711e+06,5.018938382625328813e+04,2.665585757963869128e+03,3.943880471757834130e+03,5.994324644203975367e+03,9.004854065428993248e-01,2.930585918172310400e-01,2.135178715496647561e-01,2.403393921433845948e-01,1.125490568801150587e-01,5.438571095546522460e-02,8.262292741624874259e-02,-9.470607249000530183e-05,-8.684512365280639096e-05,3.175729640980491848e-05,-7.951004907338889637e-05,-1.054652447221331804e-05,1.583012923431076900e-05,1.593431642058120088e-05,-2.986564756435328150e-05
5.598905687225254253e+06,-3.856196525470836554e+06,5.318653795808480209e+04,2.662002884218178224e+03,3.946349068500511294e+03,5.994291563423164916e+03,8.838952695857159592e-01,3.196488829875385740e-01,2.262947208143009370e-01,2.558962779997110970e-01,1.141575333175973289e-01,5.281563095400742397e-02,7.966402892588028695e-02,9.416223905800887300e-05,9.667488712266236755e-06,5.376586071320436256e-06,1.005705122177111656e-04,-1.037129791029735892e-05,1.715703878548496765e-05,1.474891192399693628e-05,-4.250288656781897600e-05
5.600235792771435343e+06,-3.854222734050473198e+06,5.618367506998216413e+04,2.658419158631876599e+03,3.948816402411320269e+03,5.994256564469106706e+03,8.662976351704865241e-01,3.460523510450955187e-01,2.384563003123058023e-01,2.703425738590289895e-01,1.151533055856794607e-01,5.032050191083162899e-02,7.738203572416026133e-02,-2.410274172108398723e-05,1.790211615244210552e-04,9.198637069609697035e-05,3.995278279157946422e-06,-1.010130397643359890e-05,1.830705906082594157e-05,1.336045444441412600e-05,-5.581310007429785003e-05
5.601564106242101640e+06,-3.852247709279026836e+06,5.918079420286150707e+04,2.654834582351757035e+03,3.951282472700714607e+03,5.994219647353002074e+03,8.473842255178861693e-01,3.727303333229798343e-01,2.504006129686714432e-01,2.837584941290153817e-01,1.186641854260389595e-01,4.909514920193332188e-02,7.579134931879606685e-02,-1.579049076184342105e-04,9.610009685086108968e-05,-4.967494576717298435e-05,1.373650473558265053e-04,-9.654454964586676365e-06,1.953872748388386159e-05,1.205602338217285885e-05,-7.105670615614734231e-05
5.602890627212191932e+06,-3.850271451788503677e+06,6.217789439764471172e+04,2.651249156524882437e+03,3.953747278579549857e+03,5.994180812086660808e+03,8.273026059492303297e-01,3.995659044951597183e-01,2.616112547933349686e-01,2.961860714281588924e-01,1.210878052983218323e-01,4.612229065641565429e-02,7.501406290785200826e-02,2.494268309947256208e-05,4.371313269526484399e-05,2.660936880867326675e-05,5.441735632386198156e-05,-9.189195647663239532e-06,2.054491887209782073e-05,1.055411886475957353e-05,-9.076753295156336776e-05
5.604215355257224292e+06,-3.848293962211309001e+06,6.517497469525977795e+04,2.647662882298590830e+03,3.956210819259090840e+03,5.994140058682515701e+03,8.062480601559747218e-01,4.258707349984113266e-01,2.725450865839017522e-01,3.075915041185051102e-01,1.216198198790893470e-01,4.521713729831890183e-02,7.266768677970866785e-02,-1.507482184792013923e-04,-1.275626737072129108e-04,1.433610920170053487e-05,7.262106027065984976e-05,-8.505032467433566547e-06,2.146754599535328215e-05,9.059931728438858959e-06,-1.086112808745820502e-04
5.605538289953281172e+06,-3.846315241180238780e+06,6.817203413664098480e+04,2.644075760820488540e+03,3.958673093951003011e+03,5.994097387153604359e+03,7.841548282762844657e-01,4.520610004703298213e-01,2.829836674836294086e-01,3.178182022193926093e-01,1.236859234749338593e-01,4.288246953931800637e-02,7.085895054181856612e-02,-2.689610390410963195e-05,-7.639434324819026128e-05,-2.687250316131238546e-05,-8.727868307307560443e-06,-8.021935341504496627e-06,2.237163639354484930e-05,7.562884093673791675e-06,-1.292042038292251505e-04
5.606859430877025239e+06,-3.844335289328484330e+06,7.116907176272940706e+04,2.640487793238455197e+03,3.961134101867359732e+03,5.994052797513583755e+03,7.615600345781725622e-01,4.776046320762329933e-01,2.922428905121169374e-01,3.269769293267368870e-01,1.222679363547751197e-01,3.864193452742660517e-02,6.954580313296826466e-02,5.001357561035078288e-05,-1.141710167650142511e-04,-5.447653153447221699e-05,-1.218037093641610112e-04,-7.386856983811168593e-06,2.302100432905169298e-05,5.928202971999821733e-06,-1.539405495367685006e-04
5.608178777605691925e+06,-3.842354107289629057e+06,7.416608661447300983e+04,2.636898980700639640e+03,3.963593842220638180e+03,5.994006289776720223e+03,7.381008955669977611e-01,5.028239814736291668e-01,3.011197520667523442e-01,3.349025860247867303e-01,1.238635774537421991e-01,3.655441455862668693e-02,6.726848239533791962e-02,-2.241764664119720899e-04,-1.630018282493641332e-04,1.967759840038198584e-04,2.436096868681808507e-06,-6.578480821066450988e-06,2.349758670516559968e-05,4.398601985731376118e-06,-1.806998493414369023e-04
