['time', 'mag_x', 'mag_y', 'mag_z', 'is_eclipsed']
[0.0, 5.862891368216713e-06, 1.0137551868239329e-05, 2.8415758339626478e-05, 0.0]
[0.002777777777777778, 5.457148939065042e-06, 9.145949536379867e-06, 2.8728411856320173e-05, 0.0]
[0.005555555555555556, 5.045729517881281e-06, 8.144060625687959e-06, 2.9011576387539674e-05, 0.0]
[0.008333333333333333, 4.628939408734872e-06, 7.132883190955569e-06, 2.9264790374476323e-05, 0.0]
[0.011111111111111112, 4.207093734490871e-06, 6.113433646359711e-06, 2.9487635954408825e-05, 0.0]
[0.01388888888888889, 3.780515717649918e-06, 5.086744559760042e-06, 2.967973974456261e-05, 0.0]
[0.016666666666666666, 3.349535953094136e-06, 4.053862436567879e-06, 2.984077349284756e-05, 0.0]
[0.019444444444444445, 2.9144916760127018e-06, 3.0158455004906263e-06, 2.997045459784132e-05, 0.0]
[0.022222222222222223, 2.4757260280918487e-06, 1.9737614779618266e-06, 3.0068546500805497e-05, 0.0]
[0.025, 2.033587324851107e-06, 9.286853925679928e-07, 3.0134858952867966e-05, 0.0]
[0.02777777777777778, 1.5884283267938661e-06, -1.183026247131653e-07, 3.0169248160780125e-05, 0.0]
[0.030555555555555558, 1.1406055168207335e-06, -1.166119504131748e-06, 3.017161681486253e-05, 0.0]
[0.03333333333333333, 6.904783861310957e-07, -2.2136813797754337e-06, 3.0141914002898762e-05, 0.0]
[0.036111111111111115, 2.3840873061706528e-07, -3.259905701740082e-06, 3.0080135013818705e-05, 0.0]
[0.03888888888888889, -2.152400404637697e-07, -4.303713313836138e-06, 2.998632103504748e-05, 0.0]
[0.04166666666666667, -6.701035819596296e-07, -5.344030493171941e-06, 2.98605587473828e-05, 0.0]
[0.044444444444444446, -1.1258172750624987e-06, -6.379790948280314e-06, 2.970297982121416e-05, 0.0]
[0.04722222222222223, -1.5820168731214607e-06, -7.409937772734835e-06, 2.951376031781789e-05, 0.0]
[0.05, -2.0383391300119735e-06, -8.433425351437576e-06, 2.9293119999362022e-05, 0.0]
[0.05277777777777778, -2.494422410196307e-06, -9.449221216948392e-06, 2.904132155114142e-05, 0.0]
[0.05555555555555556, -2.9499072797475326e-06, -1.0456307853370047e-05, 2.8758669719446436e-05, 0.0]
[0.058333333333333334, -3.404437077728153e-06, -1.1453684445404647e-05, 2.8445510368353556e-05, 0.0]
[0.061111111111111116, -3.857658467414018e-06, -1.2440368570258067e-05, 2.810222945862299e-05, 0.0]
[0.0638888888888889, -4.309221966935308e-06, -1.3415397830095812e-05, 2.772925195180268e-05, 0.0]
[0.06666666666666667, -4.758782458969512e-06, -1.4377831422749385e-05, 2.732704064257475e-05, 0.0]
[0.06944444444444445, -5.205999679167234e-06, -1.5326751648344564e-05, 2.6896094922348574e-05, 0.0]
[0.07222222222222223, -5.6505386830224305e-06, -1.626126534947728e-05, 2.6436949477102327e-05, 0.0]
[0.07500000000000001, -6.092070290914936e-06, -1.7180505282505935e-05, 2.595017292251256e-05, 0.0]
[0.07777777777777778, -6.530271511058638e-06, -1.8083631417470084e-05, 2.5436366379482734e-05, 0.0]
[0.08055555555555556, -6.9648259400835914e-06, -1.8969832164089625e-05, 2.489616199329617e-05, 0.0]
[0.08333333333333334, -7.395424140969424e-06, -1.9838325521254912e-05, 2.4330221399767483e-05, 0.0]
[0.08611111111111111, -7.821763998031324e-06, -2.068836014739373e-05, 2.3739234141954605e-05, 0.0]
[0.08888888888888889, -8.243551048642642e-06, -2.1519216349101918e-05, 2.312391604121379e-05, 0.0]
[0.09166666666666667, -8.660498791362095e-06, -2.233020698545836e-05, 2.2485007526629682e-05, 0.0]
[0.09444444444444446, -9.072328970120552e-06, -2.3120678285515515e-05, 2.182327192712711e-05, 0.0]
[0.09722222222222222, -9.478771834116717e-06, -2.3890010576571902e-05, 2.1139493730864944e-05, 0.0]
[0.1, -9.879566373072983e-06, -2.4637618920993264e-05, 2.0434476816815714e-05, 0.0]
[0.10277777777777779, -1.027446052751577e-05, -2.536295365955964e-05, 1.9709042663744703e-05, 0.0]
[0.10555555555555556, -1.0663211373770301e-05, -2.606550085957811e-05, 1.8964028542107104e-05, 0.0]
[0.10833333333333334, -1.1045585283399515e-05, -2.6744782666315154e-05, 1.8200285694674324e-05, 0.0]
[0.11111111111111112, -1.1421358056871026e-05, -2.7400357556667053e-05, 1.7418677511973805e-05, 0.0]
[0.1138888888888889, -1.1790315031306957e-05, -2.8031820494403102e-05, 1.662007770887002e-05, 0.0]
[0.11666666666666667, -1.2152251162258241e-05, -2.8638802986777493e-05, 1.5805368508820323e-05, 0.0]
[0.11944444444444445, -1.2506971079546637e-05, -2.9220973042807798e-05, 1.4975438842500651e-05, 0.0]
[0.12222222222222223, -1.285428911733741e-05, -2.977803503406122e-05, 1.4131182567605142e-05, 0.0]
[0.125, -1.3194029318736266e-05, -3.0309729459357316e-05, 1.3273496716673001e-05, 0.0]
[0.1277777777777778, -1.3526025415351277e-05, -3.081583261539256e-05, 1.2403279779781014e-05, 0.0]
[0.13055555555555556, -1.385012078241528e-05, -3.1296156175896915e-05, 1.1521430028856695e-05, 0.0]
[0.13333333333333333, -1.4166168370231592e-05, -3.175054668255057e-05, 1.062884389020831e-05, 0.0]
[0.13611111111111113, -1.4474030612876221e-05, -3.21788849514972e-05, 9.726414371637688e-06, 0.0]
[0.1388888888888889, -1.4773579315266127e-05, -3.2581085399888935e-05, 8.815029550191983e-06, 0.0]
[0.14166666666666666, -1.5064695519879046e-05, -3.2957095297472844e-05, 7.89557112622775e-06, 0.0]
